variable,n,pearson_r,p_value
STATEVA_M,1581,-0.03917478029956023,0.11946452684023476
CLAPS,1622,0.02708605623155927,0.27561425385652993
CLQF,1622,0.08843699256185743,0.00036252696280096526
CLSTENG,1622,0.030148867172218506,0.2249168970299521
MLANG,1625,0.17580082466104638,9.542007915627353e-13
SMQR,1625,-0.05866985420216071,0.018016683526413953
OSPMMR,1286,-0.09172536585623378,0.0009909121926291215
FORMAT_SMALLGRP,1286,-0.29567706422559953,2.321354709405026e-27
